understat_id,date,league,home,away,minute,score_home,score_away,current_total_goals,goal_before_ft,p_goal_before_ft
29145,2026-05-17,EPL,Manchester United,Nottingham Forest,40,1,0,1,1,0.8721768411837577
29147,2026-05-17,EPL,Wolverhampton Wanderers,Fulham,40,1,0,1,1,0.8313690055960076
29518,2026-05-17,La_liga,Athletic Club,Celta Vigo,40,0,1,1,1,0.9013654181630452
29520,2026-05-17,La_liga,Atletico Madrid,Girona,40,1,0,1,0,0.8907421178808597
29519,2026-05-17,La_liga,Barcelona,Real Betis,40,1,0,1,1,0.873434689679511
29527,2026-05-17,La_liga,Elche,Getafe,40,1,0,1,0,0.8558861148434443
29525,2026-05-17,La_liga,Levante,Mallorca,40,1,0,1,1,0.8574990097985463
29523,2026-05-17,La_liga,Osasuna,Espanyol,40,0,1,1,1,0.897439986766248
29526,2026-05-17,La_liga,Rayo Vallecano,Villarreal,40,1,0,1,1,0.8988341616332854
29521,2026-05-17,La_liga,Real Sociedad,Valencia,40,1,2,3,1,0.8168610471629097
29139,2026-05-18,EPL,Arsenal,Burnley,40,1,0,1,0,0.9717180414677554
29138,2026-05-19,EPL,Bournemouth,Manchester City,40,1,0,1,1,0.8949759179775625
29529,2026-05-23,La_liga,Real Betis,Levante,40,1,0,1,1,0.8576625077710884
29155,2026-05-24,EPL,Sunderland,Chelsea,40,1,0,1,1,0.9035281366455632
